,Collection,PatientID,PatientName,PatientSex,StudyInstanceUID,StudyDate,StudyDescription,PatientAge,SeriesCount,SeriesInstanceUID,Modality,ProtocolName,SeriesDate,SeriesDescription,BodyPartExamined,SeriesNumber,Manufacturer,ManufacturerModelName,SoftwareVersions,Visibility,ImageCount
0,CC-Radiomics-Phantom-2,CCR-2-0120,CCR-2-0120,O,1.3.6.1.4.1.14519.5.2.1.4221.6935.192385301308261684750754641618,2016-03-14,Unspecified CT CHEST,001D,1,1.3.6.1.4.1.14519.5.2.1.4221.6935.123493544017703651607933017632,CT,ThoraxRoutine,2016-03-14,Siemens_Sensation16_120_250_3.0_500,CHEST,17.000000,SIEMENS,Sensation 16,syngo CT 2006G,1,145
1,CC-Radiomics-Phantom-2,CCR-2-0153,CCR-2-0153,O,1.3.6.1.4.1.14519.5.2.1.4221.6935.911136837326514739789594386310,2016-02-29,Unspecified CT CHEST,001D,1,1.3.6.1.4.1.14519.5.2.1.4221.6935.639284183414399309127306720425,CT,ThoraxRoutine,2016-02-29,Siemens_Sensation64_120_250_2.0_400,CHEST,10.000000,SIEMENS,Sensation 64,syngo CT 2014A,1,224
2,CC-Radiomics-Phantom-2,CCR-2-0215,CCR-2-0215,O,1.3.6.1.4.1.14519.5.2.1.4221.6935.189392476020948231777692545704,2016-03-17,Unspecified CT,,1,1.3.6.1.4.1.14519.5.2.1.4221.6935.983062812549508760683949511689,CT,ONC CHEST/ONCprotocols,,Philips_Brilliance64_120_65_1.5_0.9,,10.000000,Philips,Brilliance 64,2.6.2,1,255
3,CC-Radiomics-Phantom-2,CCR-2-0082,CCR-2-0082,O,1.3.6.1.4.1.14519.5.2.1.4221.6935.266947490872896002899547472035,2016-03-04,Unspecified CT,,1,1.3.6.1.4.1.14519.5.2.1.4221.6935.201199188871366380184564288142,CT,Onco Chest/OncoBody,,Philips_BrillianceBigBore_120_250_3.0_400,,10847.000000,Philips,Brilliance Big Bore,3.5.5,1,138
4,CC-Radiomics-Phantom-2,CCR-2-0074,CCR-2-0074,O,1.3.6.1.4.1.14519.5.2.1.4221.6935.407227303207881165761804305632,2016-03-22,Unspecified CT,,1,1.3.6.1.4.1.14519.5.2.1.4221.6935.104102895612539380328041257438,CT,Onco Chest/OncoBody,,Philips_BrillianceBigBore_120_250_2.0_350,,10687.000000,Philips,Brilliance Big Bore,3.5.5,1,202
5,CC-Radiomics-Phantom-2,CCR-2-0073,CCR-2-0073,O,1.3.6.1.4.1.14519.5.2.1.4221.6935.711619980502881017363857804327,2016-03-04,Unspecified CT,,1,1.3.6.1.4.1.14519.5.2.1.4221.6935.139904640926010136848882040324,CT,Onco Chest/OncoBody,,Philips_BrillianceBigBore_120_250_2.0_300,,10585.000000,Philips,Brilliance Big Bore,3.5.5,1,206
6,CC-Radiomics-Phantom-2,CCR-2-0053,CCR-2-0053,O,1.3.6.1.4.1.14519.5.2.1.4221.6935.237818155393552091608085176650,2016-03-17,Unspecified CT,,1,1.3.6.1.4.1.14519.5.2.1.4221.6935.308652253305101674783003769034,CT,ONC CHEST/ONCprotocols,,Philips_Brilliance64_120_250_2.0_350,,9.000000,Philips,Brilliance 64,2.6.2,1,198
7,CC-Radiomics-Phantom-2,CCR-2-0220,CCR-2-0220,O,1.3.6.1.4.1.14519.5.2.1.4221.6935.171525408760239770108123412987,2016-02-24,Unspecified CT CHEST,090Y,1,1.3.6.1.4.1.14519.5.2.1.4221.6935.216389861178985080799721042097,CT,THORAX_ROUTINE,2016-02-24,Siemens_DefinitionAS_120_65_1.5_0.5,CHEST,13.000000,SIEMENS,SOMATOM Definition AS,syngo CT 2012B,1,286
8,CC-Radiomics-Phantom-2,CCR-2-0109,CCR-2-0109,O,1.3.6.1.4.1.14519.5.2.1.4221.6935.594839405718062941336846746275,2016-03-14,Unspecified CT CHEST,001D,1,1.3.6.1.4.1.14519.5.2.1.4221.6935.626371489196769240602412796335,CT,ThoraxRoutine,2016-03-14,Siemens_Sensation16_120_250_1.5_400,CHEST,6.000000,SIEMENS,Sensation 16,syngo CT 2006G,1,289
9,CC-Radiomics-Phantom-2,CCR-2-0155,CCR-2-0155,O,1.3.6.1.4.1.14519.5.2.1.4221.6935.270286705133929958886579473805,2016-02-29,Unspecified CT CHEST,001D,1,1.3.6.1.4.1.14519.5.2.1.4221.6935.641293166324471959631886188698,CT,ThoraxRoutine,2016-02-29,Siemens_Sensation64_120_250_2.0_500,CHEST,11.000000,SIEMENS,Sensation 64,syngo CT 2014A,1,224
