,Collection,PatientID,PatientName,PatientSex,StudyInstanceUID,StudyDate,StudyDescription,SeriesCount
0,Mouse-Astrocytoma,TVD_GBM_IC2_11311014_021811,TVD_GBM_IC2_11311014_021811,F,1.3.46.670589.11.17169.5.0.4584.2011021810251949513.3,2011-02-18,GBM_intracranial,4
1,Mouse-Astrocytoma,TVD_GBM_U87_4534_121511,TVD_GBM_U87_4534_121511,F,1.3.46.670589.11.17169.5.0.8084.2011121508500512218.1,2011-12-15,Spontaneous Brain Tumor Model,6
2,Mouse-Astrocytoma,TVD_GBM_U87_4494_121511,TVD_GBM_U87_4494_121511,F,1.3.46.670589.11.17169.5.0.8084.2011121510142175228.2,2011-12-15,Spontaneous Brain Tumor Model,6
3,Mouse-Astrocytoma,TVD_GBM_IC2_11311021_020111,TVD_GBM_IC2_11311021_020111,M,1.3.46.670589.11.17169.5.0.2964.2011020108354798122.3,2011-02-01,GBM_intracranial,6
4,Mouse-Astrocytoma,TVD_GBM_U87_1202252_021512,TVD_GBM_U87_1202252_021512,F,1.3.46.670589.11.17169.5.0.548.2012021510554459498.1,2012-02-15,,6
5,Mouse-Astrocytoma,TVD_GBM_U87_4541_121411,TVD_GBM_U87_4541_121411,F,1.3.46.670589.11.17169.5.0.8084.2011121408484042048.4,2011-12-14,Spontaneous Brain Tumor Model,6
6,Mouse-Astrocytoma,TVD_GBM_IC2_11311002_020811,TVD_GBM_IC2_11311002_020811,F,1.3.46.670589.11.17169.5.0.3164.2011020809040192350.1,2011-02-08,GBM_intracranial,6
7,Mouse-Astrocytoma,TVD_GBM_IC2_11311008_020111,TVD_GBM_IC2_11311008_020111,F,1.3.46.670589.11.17169.5.0.2964.2011020109561014136.2,2011-02-01,GBM_intracranial,6
8,Mouse-Astrocytoma,TVD_GBM_U87_4540_121411,TVD_GBM_U87_4540_121411,F,1.3.46.670589.11.17169.5.0.8084.2011121408484042048.3,2011-12-14,Spontaneous Brain Tumor Model,6
9,Mouse-Astrocytoma,TVD_GBM_IC2_11311023_020111,TVD_GBM_IC2_11311023_020111,M,1.3.46.670589.11.17169.5.0.2964.2011020108354798122.4,2011-02-01,GBM_intracranial,6
10,Mouse-Astrocytoma,TVD_GBM_U87_1202141_021412,TVD_GBM_U87_1202141_021412,F,1.3.46.670589.11.17169.5.0.548.2012021409575487420.1,2012-02-14,Group-487 Cells,6
11,Mouse-Astrocytoma,TVD_GBM_IC2_11311063_021811,TVD_GBM_IC2_11311063_021811,F,1.3.46.670589.11.17169.5.0.4584.2011021811534083539.3,2011-02-18,GBM_intracranial,7
12,Mouse-Astrocytoma,TVD_GBM_U87_4536_121511,TVD_GBM_U87_4536_121511,F,1.3.46.670589.11.17169.5.0.8084.2011121508500512218.2,2011-12-15,Spontaneous Brain Tumor Model,6
13,Mouse-Astrocytoma,TVD_GBM_U87_4493_121511,TVD_GBM_U87_4493_121511,F,1.3.46.670589.11.17169.5.0.8084.2011121510142175228.1,2011-12-15,Spontaneous Brain Tumor Model,6
14,Mouse-Astrocytoma,TVD_GBM_IC2_11311017_020811,TVD_GBM_IC2_11311017_020811,M,1.3.46.670589.11.17169.5.0.3164.2011020810281157364.3,2011-02-08,GBM_intracranial,7
15,Mouse-Astrocytoma,TVD_GBM_U87_1202253_021512,TVD_GBM_U87_1202253_021512,F,1.3.46.670589.11.17169.5.0.548.2012021510554459498.2,2012-02-15,,6
16,Mouse-Astrocytoma,TVD_GBM_IC2_11311004_020811,TVD_GBM_IC2_11311004_020811,F,1.3.46.670589.11.17169.5.0.3164.2011020809040192350.2,2011-02-08,GBM_intracranial,6
17,Mouse-Astrocytoma,TVD_GBM_U87_1202145_021412,TVD_GBM_U87_1202145_021412,F,1.3.46.670589.11.17169.5.0.548.2012021411421297446.1,2012-02-14,Group-487 Cells and 425,6
18,Mouse-Astrocytoma,TVD_GBM_IC1_070610_16_100110,TVD_GBM_IC1_070610_16_100110,F,1.3.46.670589.11.17169.5.0.6060.2010100109470843631.2,2010-10-01,GBM_intracranial,6
19,Mouse-Astrocytoma,TVD_GBM_IC1_070610_51_093010,TVD_GBM_IC1_070610_51_093010,M,1.3.46.670589.11.17169.5.0.6060.2010093011141718595.3,2010-09-30,GBM_intracranial,6
20,Mouse-Astrocytoma,TVD_GBM_IC2_11311045_022311,TVD_GBM_IC2_11311045_022311,M,1.3.46.670589.11.17169.5.0.4584.2011022312420330645.2,2011-02-23,GBM_intracranial,6
21,Mouse-Astrocytoma,TVD_GBM_IC2_11311082_021511,TVD_GBM_IC2_11311082_021511,F,1.3.46.670589.11.17169.5.0.4584.2011021511013196216.4,2011-02-15,GBM_intracranial,6
22,Mouse-Astrocytoma,TVD_GBM_IC2_11311019_020811,TVD_GBM_IC2_11311019_020811,M,1.3.46.670589.11.17169.5.0.3164.2011020810281157364.4,2011-02-08,GBM_intracranial,7
23,Mouse-Astrocytoma,TVD_GBM_U87_4535_121411,TVD_GBM_U87_4535_121411,F,1.3.46.670589.11.17169.5.0.8084.2011121408484042048.2,2011-12-14,Spontaneous Brain Tumor Model,6
24,Mouse-Astrocytoma,TVD_GBM_IC2_11311072_021811,TVD_GBM_IC2_11311072_021811,F,1.3.46.670589.11.17169.5.0.4584.2011021813241574561.2,2011-02-18,GBM_intracranial,6
25,Mouse-Astrocytoma,TVD_GBM_IC2_11311024_020111,TVD_GBM_IC2_11311024_020111,F,1.3.46.670589.11.17169.5.0.2964.2011020109561014136.4,2011-02-01,GBM_intracranial,6
26,Mouse-Astrocytoma,TVD_GBM_IC1_070610_22_093010,TVD_GBM_IC1_070610_22_093010,F,1.3.46.670589.11.17169.5.0.6060.2010093011141718595.1,2010-09-30,GBM_intracranial,6
