,Collection,PatientID,PatientName,PatientSex,StudyInstanceUID,StudyDate,StudyDescription,SeriesCount,SeriesInstanceUID,Modality,ProtocolName,SeriesDate,SeriesDescription,BodyPartExamined,SeriesNumber,Manufacturer,ManufacturerModelName,SoftwareVersions,Visibility,ImageCount
0,Mouse-Astrocytoma,TVD_GBM_IC2_11311014_021811,TVD_GBM_IC2_11311014_021811,F,1.3.46.670589.11.17169.5.0.4584.2011021810251949513.3,2011-02-18,GBM_intracranial,4,1.3.46.670589.11.17169.5.0.4564.2011021811460863701.3,MR,T1_FFE_PreFA5 SENSE,2011-02-18,T1_FFE_PreFA5 SENSE,SKULL,501.000000,Philips Medical Systems,Achieva,2.6.3,1,12
1,Mouse-Astrocytoma,TVD_GBM_IC2_11311014_021811,TVD_GBM_IC2_11311014_021811,F,1.3.46.670589.11.17169.5.0.4584.2011021810251949513.3,2011-02-18,GBM_intracranial,4,1.3.46.670589.11.17169.5.0.4564.2011021811510280972.3,MR,Dyn22s_AP_TR9/TE3 SENSE,2011-02-18,Dyn22s_AP_TR9/TE3 SENSE,SKULL,701.000000,Philips Medical Systems,Achieva,2.6.3,1,600
2,Mouse-Astrocytoma,TVD_GBM_IC2_11311014_021811,TVD_GBM_IC2_11311014_021811,F,1.3.46.670589.11.17169.5.0.4584.2011021810251949513.3,2011-02-18,GBM_intracranial,4,1.3.46.670589.11.17169.5.0.4564.2011021811161058676.3,MR,TSE_100_Cor_P4 SENSE,2011-02-18,TSE_100_Cor_P4 SENSE,SKULL,401.000000,Philips Medical Systems,Achieva,2.6.3,1,30
3,Mouse-Astrocytoma,TVD_GBM_IC2_11311014_021811,TVD_GBM_IC2_11311014_021811,F,1.3.46.670589.11.17169.5.0.4584.2011021810251949513.3,2011-02-18,GBM_intracranial,4,1.3.46.670589.11.17169.5.0.4564.2011021812093597181.3,MR,T1_FFE_Cor_PostC SENSE,2011-02-18,T1_FFE_Cor_PostC SENSE,SKULL,801.000000,Philips Medical Systems,Achieva,2.6.3,1,48
4,Mouse-Astrocytoma,TVD_GBM_U87_4534_121511,TVD_GBM_U87_4534_121511,F,1.3.46.670589.11.17169.5.0.8084.2011121508500512218.1,2011-12-15,Spontaneous Brain Tumor Model,6,1.3.46.670589.11.17169.5.0.2192.2011121510480334010.1,MR,WIP T1_FFE_Cor_PostC SENSE,2011-12-15,T1_FFE_Cor_PostC SENSE,SKULL,801.000000,Philips Medical Systems,Achieva,2.6.3,1,48
5,Mouse-Astrocytoma,TVD_GBM_U87_4534_121511,TVD_GBM_U87_4534_121511,F,1.3.46.670589.11.17169.5.0.8084.2011121508500512218.1,2011-12-15,Spontaneous Brain Tumor Model,6,1.3.46.670589.11.17169.5.0.11152.2012020710014350000.1,MR,sWIP T1_FFE_Subtr,2011-12-15,sWIP T1_FFE_Subtr,SKULL,802.000000,Philips Medical Systems,Achieva,2.6.3,1,48
6,Mouse-Astrocytoma,TVD_GBM_U87_4534_121511,TVD_GBM_U87_4534_121511,F,1.3.46.670589.11.17169.5.0.8084.2011121508500512218.1,2011-12-15,Spontaneous Brain Tumor Model,6,1.3.46.670589.11.17169.5.0.2192.2011121510292490801.1,MR,WIP Dyn22s_AP_TR9/TE3 SENSE,2011-12-15,Dyn22s_AP_TR9/TE3 SENSE,SKULL,701.000000,Philips Medical Systems,Achieva,2.6.3,1,600
7,Mouse-Astrocytoma,TVD_GBM_U87_4534_121511,TVD_GBM_U87_4534_121511,F,1.3.46.670589.11.17169.5.0.8084.2011121508500512218.1,2011-12-15,Spontaneous Brain Tumor Model,6,1.3.46.670589.11.17169.5.0.2192.2011121510231220724.1,MR,WIP T1_FFE_PreFA5 SENSE,2011-12-15,T1_FFE_PreFA5 SENSE,SKULL,601.000000,Philips Medical Systems,Achieva,2.6.3,1,12
8,Mouse-Astrocytoma,TVD_GBM_U87_4534_121511,TVD_GBM_U87_4534_121511,F,1.3.46.670589.11.17169.5.0.8084.2011121508500512218.1,2011-12-15,Spontaneous Brain Tumor Model,6,1.3.46.670589.11.17169.5.0.2192.2011121510153548697.1,MR,WIP T1_FFE_Cor_PreC SENSE,2011-12-15,T1_FFE_Cor_PreC SENSE,SKULL,501.000000,Philips Medical Systems,Achieva,2.6.3,1,48
9,Mouse-Astrocytoma,TVD_GBM_U87_4534_121511,TVD_GBM_U87_4534_121511,F,1.3.46.670589.11.17169.5.0.8084.2011121508500512218.1,2011-12-15,Spontaneous Brain Tumor Model,6,1.3.46.670589.11.17169.5.0.2192.2011121509462420673.1,MR,WIP TSE_100_Cor_P4 SENSE,2011-12-15,TSE_100_Cor_P4 SENSE,SKULL,401.000000,Philips Medical Systems,Achieva,2.6.3,1,30
10,Mouse-Astrocytoma,TVD_GBM_U87_4494_121511,TVD_GBM_U87_4494_121511,F,1.3.46.670589.11.17169.5.0.8084.2011121510142175228.2,2011-12-15,Spontaneous Brain Tumor Model,6,1.3.46.670589.11.17169.5.0.2192.2011121512161373635.2,MR,WIP T1_FFE_Cor_PostC SENSE,2011-12-15,T1_FFE_Cor_PostC SENSE,SKULL,801.000000,Philips Medical Systems,Achieva,2.6.3,1,48
11,Mouse-Astrocytoma,TVD_GBM_U87_4494_121511,TVD_GBM_U87_4494_121511,F,1.3.46.670589.11.17169.5.0.8084.2011121510142175228.2,2011-12-15,Spontaneous Brain Tumor Model,6,1.3.46.670589.11.17169.5.0.2192.2011121511571031349.2,MR,WIP T1_FFE_PreFA5 SENSE,2011-12-15,T1_FFE_PreFA5 SENSE,SKULL,601.000000,Philips Medical Systems,Achieva,2.6.3,1,12
12,Mouse-Astrocytoma,TVD_GBM_U87_4494_121511,TVD_GBM_U87_4494_121511,F,1.3.46.670589.11.17169.5.0.8084.2011121510142175228.2,2011-12-15,Spontaneous Brain Tumor Model,6,1.3.46.670589.11.17169.5.0.9924.2012020709424963000.2,MR,sWIP T1_FFE_Subtr,2011-12-15,sWIP T1_FFE_Subtr,SKULL,802.000000,Philips Medical Systems,Achieva,2.6.3,1,48
13,Mouse-Astrocytoma,TVD_GBM_U87_4494_121511,TVD_GBM_U87_4494_121511,F,1.3.46.670589.11.17169.5.0.8084.2011121510142175228.2,2011-12-15,Spontaneous Brain Tumor Model,6,1.3.46.670589.11.17169.5.0.2192.2011121511493351322.2,MR,WIP T1_FFE_Cor_PreC SENSE,2011-12-15,T1_FFE_Cor_PreC SENSE,SKULL,501.000000,Philips Medical Systems,Achieva,2.6.3,1,48
14,Mouse-Astrocytoma,TVD_GBM_U87_4494_121511,TVD_GBM_U87_4494_121511,F,1.3.46.670589.11.17169.5.0.8084.2011121510142175228.2,2011-12-15,Spontaneous Brain Tumor Model,6,1.3.46.670589.11.17169.5.0.2192.2011121511574007387.2,MR,WIP Dyn22s_AP_TR9/TE3 SENSE,2011-12-15,Dyn22s_AP_TR9/TE3 SENSE,SKULL,701.000000,Philips Medical Systems,Achieva,2.6.3,1,600
15,Mouse-Astrocytoma,TVD_GBM_U87_4494_121511,TVD_GBM_U87_4494_121511,F,1.3.46.670589.11.17169.5.0.8084.2011121510142175228.2,2011-12-15,Spontaneous Brain Tumor Model,6,1.3.46.670589.11.17169.5.0.2192.2011121511202206298.2,MR,WIP TSE_100_Cor_P4 SENSE,2011-12-15,TSE_100_Cor_P4 SENSE,SKULL,401.000000,Philips Medical Systems,Achieva,2.6.3,1,30
16,Mouse-Astrocytoma,TVD_GBM_IC2_11311021_020111,TVD_GBM_IC2_11311021_020111,M,1.3.46.670589.11.17169.5.0.2964.2011020108354798122.3,2011-02-01,GBM_intracranial,6,1.3.46.670589.11.17169.5.0.5800.2011020110194632252.3,MR,T1_FFE_Cor_PostC SENSE,2011-02-01,T1_FFE_Cor_PostC SENSE,SKULL,801.000000,Philips Medical Systems,Achieva,2.6.3,1,48
17,Mouse-Astrocytoma,TVD_GBM_IC2_11311021_020111,TVD_GBM_IC2_11311021_020111,M,1.3.46.670589.11.17169.5.0.2964.2011020108354798122.3,2011-02-01,GBM_intracranial,6,1.3.46.670589.11.17169.5.0.5936.2012020709115638000.3,MR,sT1_FFE_Subtr,2011-02-01,sT1_FFE_Subtr,SKULL,802.000000,Philips Medical Systems,Achieva,2.6.3,1,48
18,Mouse-Astrocytoma,TVD_GBM_IC2_11311021_020111,TVD_GBM_IC2_11311021_020111,M,1.3.46.670589.11.17169.5.0.2964.2011020108354798122.3,2011-02-01,GBM_intracranial,6,1.3.46.670589.11.17169.5.0.5800.2011020110010465043.3,MR,Dyn22s_AP_TR9/TE3 SENSE,2011-02-01,Dyn22s_AP_TR9/TE3 SENSE,SKULL,701.000000,Philips Medical Systems,Achieva,2.6.3,1,600
