,Collection,PatientID,PatientName,PatientSex,StudyInstanceUID,StudyDate,StudyDescription,SeriesCount
0,Mouse-Mammary,MMC_SJ_1211711,MMC_SJ_1211711,F,1.3.46.670589.11.17169.5.0.10972.2013011410472864254.1,2013-01-14,Preinvasive mammary neoplasia,1
1,Mouse-Mammary,MMC_SJ_1211711,MMC_SJ_1211711,F,1.3.46.670589.11.17169.5.0.7096.2013011713240928098.1,2013-01-17,Preinvasive mammary neoplasia,1
2,Mouse-Mammary,MMC_SJ_1211711,MMC_SJ_1211711,F,1.3.46.670589.11.17169.5.0.7408.2013010209283804061.1,2013-01-02,Preinvasive mammary neoplasia,1
3,Mouse-Mammary,MMC_SJ_1211711,MMC_SJ_1211711,F,1.3.46.670589.11.17169.5.0.9748.2013012812032937385.1,2013-01-28,Preinvasive mammary neoplasia,1
4,Mouse-Mammary,MMC_SJ_1211711,MMC_SJ_1211711,F,1.3.46.670589.11.17169.5.0.9912.2012121310154456076.1,2012-12-13,Preinvasive mammary neoplasia,1
5,Mouse-Mammary,MMC_SJ_1211711,MMC_SJ_1211711,F,1.3.46.670589.11.17169.5.0.10972.2013011010494312154.1,2013-01-10,Preinvasive mammary neoplasia,1
6,Mouse-Mammary,MMC_SJ_1211711,MMC_SJ_1211711,F,1.3.46.670589.11.17169.5.0.9912.2012121710110293196.1,2012-12-17,Preinvasive mammary neoplasia,1
7,Mouse-Mammary,MMC_SJ_1211711,MMC_SJ_1211711,F,1.3.46.670589.11.17169.5.0.8484.2013010410180525096.1,2013-01-04,Preinvasive mammary neoplasia,1
8,Mouse-Mammary,MMC_SJ_1211711,MMC_SJ_1211711,F,1.3.46.670589.11.17169.5.0.8484.2013010709265345196.1,2013-01-07,Preinvasive mammary neoplasia,1
9,Mouse-Mammary,MMC_SJ_1211711,MMC_SJ_1211711,F,1.3.46.670589.11.17169.5.0.6200.2012121011151350826.1,2012-12-10,Preinvasive mammary neoplasia,1
10,Mouse-Mammary,MMC_SJ_1211711,MMC_SJ_1211711,F,1.3.46.670589.11.17169.5.0.9748.2013012411480649173.1,2013-01-24,Preinvasive mammary neoplasia,1
11,Mouse-Mammary,MMC_SJ_1211711,MMC_SJ_1211711,F,1.3.46.670589.11.17169.5.0.6356.2012121908351592112.1,2012-12-19,Preinvasive mammary neoplasia,1
12,Mouse-Mammary,MMC_SJ_1211711,MMC_SJ_1211711,F,1.3.46.670589.11.17169.5.0.9748.2013013110294314954.1,2013-01-31,Preinvasive mammary neoplasia,1
13,Mouse-Mammary,MMC_SJ_1211711,MMC_SJ_1211711,F,1.3.46.670589.11.17169.5.0.6200.2012120611305842572.1,2012-12-06,Preinvasive mammary neoplasia,1
14,Mouse-Mammary,MMC_SJ_1210187,MMC_SJ_1210187,F,1.3.46.670589.11.17169.5.0.9748.2013012409115851124.1,2013-01-24,Preinvasive mammary neoplasia,1
15,Mouse-Mammary,MMC_SJ_1210187,MMC_SJ_1210187,F,1.3.46.670589.11.17169.5.0.9912.2012121709145028160.1,2012-12-17,Preinvasive mammary neoplasia,1
16,Mouse-Mammary,MMC_SJ_1210187,MMC_SJ_1210187,F,1.3.46.670589.11.17169.5.0.10972.2013011009001607104.1,2013-01-10,Preinvasive mammary neoplasia,1
17,Mouse-Mammary,MMC_SJ_1210187,MMC_SJ_1210187,F,1.3.46.670589.11.17169.5.0.9912.2012121308491037036.2,2012-12-13,Preinvasive mammary neoplasia,1
18,Mouse-Mammary,MMC_SJ_1210187,MMC_SJ_1210187,F,1.3.46.670589.11.17169.5.0.8484.2013010409502895064.1,2013-01-04,Preinvasive mammary neoplasia,1
19,Mouse-Mammary,MMC_SJ_1210187,MMC_SJ_1210187,F,1.3.46.670589.11.17169.5.0.10972.2013011408455659208.1,2013-01-14,Preinvasive mammary neoplasia,1
20,Mouse-Mammary,MMC_SJ_1210187,MMC_SJ_1210187,F,1.3.46.670589.11.17169.5.0.6356.2012121910142828158.1,2012-12-19,Preinvasive mammary neoplasia,1
21,Mouse-Mammary,MMC_SJ_1210187,MMC_SJ_1210187,F,1.3.46.670589.11.17169.5.0.9748.2013012810295379335.1,2013-01-28,Preinvasive mammary neoplasia,1
22,Mouse-Mammary,MMC_SJ_1210187,MMC_SJ_1210187,F,1.3.46.670589.11.17169.5.0.7096.2013011711090998030.1,2013-01-17,Preinvasive mammary neoplasia,1
23,Mouse-Mammary,MMC_SJ_1210187,MMC_SJ_1210187,F,1.3.46.670589.11.17169.5.0.7408.2013010209033734051.1,2013-01-02,Preinvasive mammary neoplasia,1
24,Mouse-Mammary,MMC_SJ_1210187,MMC_SJ_1210187,F,1.3.46.670589.11.17169.5.0.6200.2012120610012831532.2,2012-12-06,Preinvasive mammary neoplasia,1
25,Mouse-Mammary,MMC_SJ_1210187,MMC_SJ_1210187,F,1.3.46.670589.11.17169.5.0.9748.2013013108290723896.1,2013-01-31,Preinvasive mammary neoplasia,1
26,Mouse-Mammary,MMC_SJ_1210187,MMC_SJ_1210187,F,1.3.46.670589.11.17169.5.0.6200.2012121009523625798.2,2012-12-10,Preinvasive mammary neoplasia,2
27,Mouse-Mammary,MMC_SJ_1210187,MMC_SJ_1210187,F,1.3.46.670589.11.17169.5.0.8484.2013010708504203174.1,2013-01-07,Preinvasive mammary neoplasia,1
28,Mouse-Mammary,MMC_SJ_1212204,MMC_SJ_1212204,F,1.3.46.670589.11.17169.5.0.9748.2013013109012927910.1,2013-01-31,Preinvasive mammary neoplasia,1
29,Mouse-Mammary,MMC_SJ_1212204,MMC_SJ_1212204,F,1.3.46.670589.11.17169.5.0.9748.2013012410420430145.1,2013-01-24,Preinvasive mammary neoplasia,1
30,Mouse-Mammary,MMC_SJ_1212204,MMC_SJ_1212204,F,1.3.46.670589.11.17169.5.0.9748.2013012810491813349.1,2013-01-28,Preinvasive mammary neoplasia,1
31,Mouse-Mammary,MMC_SJ_1210190,MMC_SJ_1210190,F,1.3.46.670589.11.17169.5.0.8484.2013010409502895064.2,2013-01-04,Preinvasive mammary neoplasia,1
32,Mouse-Mammary,MMC_SJ_1210190,MMC_SJ_1210190,F,1.3.46.670589.11.17169.5.0.6356.2012121910142828158.2,2012-12-19,Preinvasive mammary neoplasia,1
33,Mouse-Mammary,MMC_SJ_1210190,MMC_SJ_1210190,F,1.3.46.670589.11.17169.5.0.6200.2012120611124553558.2,2012-12-06,Preinvasive mammary neoplasia,1
34,Mouse-Mammary,MMC_SJ_1210190,MMC_SJ_1210190,F,1.3.46.670589.11.17169.5.0.10972.2013011009001607104.2,2013-01-10,Preinvasive mammary neoplasia,1
35,Mouse-Mammary,MMC_SJ_1210190,MMC_SJ_1210190,F,1.3.46.670589.11.17169.5.0.6200.2012121010263736808.2,2012-12-10,Preinvasive mammary neoplasia,1
36,Mouse-Mammary,MMC_SJ_1210190,MMC_SJ_1210190,F,1.3.46.670589.11.17169.5.0.9912.2012121309260426054.2,2012-12-13,Preinvasive mammary neoplasia,1
37,Mouse-Mammary,MMC_SJ_1210190,MMC_SJ_1210190,F,1.3.46.670589.11.17169.5.0.8484.2013010708504203174.2,2013-01-07,Preinvasive mammary neoplasia,1
38,Mouse-Mammary,MMC_SJ_1210190,MMC_SJ_1210190,F,1.3.46.670589.11.17169.5.0.9912.2012121709393634182.1,2012-12-17,Preinvasive mammary neoplasia,1
39,Mouse-Mammary,MMC_SJ_1210190,MMC_SJ_1210190,F,1.3.46.670589.11.17169.5.0.7408.2013010209033734051.2,2013-01-02,Preinvasive mammary neoplasia,1
40,Mouse-Mammary,MMC_SJ_1212197,MMC_SJ_1212197,F,1.3.46.670589.11.17169.5.0.6356.2012121911152371184.2,2012-12-19,Preinvasive mammary neoplasia,1
41,Mouse-Mammary,MMC_SJ_1212197,MMC_SJ_1212197,F,1.3.46.670589.11.17169.5.0.10972.2013011010090342140.2,2013-01-10,Preinvasive mammary neoplasia,2
42,Mouse-Mammary,MMC_SJ_1212197,MMC_SJ_1212197,F,1.3.46.670589.11.17169.5.0.7096.2013011711365535044.2,2013-01-17,Preinvasive mammary neoplasia,2
43,Mouse-Mammary,MMC_SJ_1212197,MMC_SJ_1212197,F,1.3.46.670589.11.17169.5.0.9748.2013012410420430145.2,2013-01-24,Preinvasive mammary neoplasia,1
44,Mouse-Mammary,MMC_SJ_1212197,MMC_SJ_1212197,F,1.3.46.670589.11.17169.5.0.9748.2013012810491813349.2,2013-01-28,Preinvasive mammary neoplasia,1
45,Mouse-Mammary,MMC_SJ_1212197,MMC_SJ_1212197,F,1.3.46.670589.11.17169.5.0.9748.2013013108290723896.2,2013-01-31,Preinvasive mammary neoplasia,1
46,Mouse-Mammary,MMC_SJ_1212197,MMC_SJ_1212197,F,1.3.46.670589.11.17169.5.0.10972.2013011410293275244.2,2013-01-14,Preinvasive mammary neoplasia,2
47,Mouse-Mammary,MMC_SJ_1211714,MMC_SJ_1211714,F,1.3.46.670589.11.17169.5.0.9912.2012121710543479210.2,2012-12-17,Preinvasive mammary neoplasia,1
48,Mouse-Mammary,MMC_SJ_1211714,MMC_SJ_1211714,F,1.3.46.670589.11.17169.5.0.9748.2013013111143149972.1,2013-01-31,Preinvasive mammary neoplasia,1
49,Mouse-Mammary,MMC_SJ_1211714,MMC_SJ_1211714,F,1.3.46.670589.11.17169.5.0.6200.2012121011465631840.2,2012-12-10,Preinvasive mammary neoplasia,1
50,Mouse-Mammary,MMC_SJ_1211714,MMC_SJ_1211714,F,1.3.46.670589.11.17169.5.0.6200.2012120612163553590.2,2012-12-06,Preinvasive mammary neoplasia,1
51,Mouse-Mammary,MMC_SJ_1211714,MMC_SJ_1211714,F,1.3.46.670589.11.17169.5.0.9912.2012121310584324090.2,2012-12-13,Preinvasive mammary neoplasia,1
52,Mouse-Mammary,MMC_SJ_1211714,MMC_SJ_1211714,F,1.3.46.670589.11.17169.5.0.7408.2013010210261570093.2,2013-01-02,Preinvasive mammary neoplasia,1
53,Mouse-Mammary,MMC_SJ_1211714,MMC_SJ_1211714,F,1.3.46.670589.11.17169.5.0.9748.2013012812392615399.1,2013-01-28,Preinvasive mammary neoplasia,1
54,Mouse-Mammary,MMC_SJ_1211714,MMC_SJ_1211714,F,1.3.46.670589.11.17169.5.0.7096.2013011713323479112.1,2013-01-17,Preinvasive mammary neoplasia,1
55,Mouse-Mammary,MMC_SJ_1211714,MMC_SJ_1211714,F,1.3.46.670589.11.17169.5.0.8484.2013010411144953118.2,2013-01-04,Preinvasive mammary neoplasia,1
56,Mouse-Mammary,MMC_SJ_1211714,MMC_SJ_1211714,F,1.3.46.670589.11.17169.5.0.6356.2012121909123387122.2,2012-12-19,Preinvasive mammary neoplasia,1
57,Mouse-Mammary,MMC_SJ_1211714,MMC_SJ_1211714,F,1.3.46.670589.11.17169.5.0.10972.2013011011251039172.1,2013-01-10,Preinvasive mammary neoplasia,2
58,Mouse-Mammary,MMC_SJ_1211714,MMC_SJ_1211714,F,1.3.46.670589.11.17169.5.0.9748.2013012412233996191.1,2013-01-24,Preinvasive mammary neoplasia,1
59,Mouse-Mammary,MMC_SJ_1211714,MMC_SJ_1211714,F,1.3.46.670589.11.17169.5.0.10972.2013011411294431272.1,2013-01-14,Preinvasive mammary neoplasia,1
60,Mouse-Mammary,MMC_SJ_1211723,MMC_SJ_1211723,F,1.3.46.670589.11.17169.5.0.10972.2013011009224068122.2,2013-01-10,Preinvasive mammary neoplasia,1
61,Mouse-Mammary,MMC_SJ_1211723,MMC_SJ_1211723,F,1.3.46.670589.11.17169.5.0.9748.2013012811313049371.2,2013-01-28,Preinvasive mammary neoplasia,1
62,Mouse-Mammary,MMC_SJ_1211723,MMC_SJ_1211723,F,1.3.46.670589.11.17169.5.0.8484.2013010411492460132.2,2013-01-04,Preinvasive mammary neoplasia,1
63,Mouse-Mammary,MMC_SJ_1211723,MMC_SJ_1211723,F,1.3.46.670589.11.17169.5.0.6356.2012121909515285148.2,2012-12-19,Preinvasive mammary neoplasia,1
64,Mouse-Mammary,MMC_SJ_1211723,MMC_SJ_1211723,F,1.3.46.670589.11.17169.5.0.7408.2013010210080118091.2,2013-01-02,Preinvasive mammary neoplasia,1
65,Mouse-Mammary,MMC_SJ_1211723,MMC_SJ_1211723,F,1.3.46.670589.11.17169.5.0.10972.2013011409103298218.2,2013-01-14,Preinvasive mammary neoplasia,1
66,Mouse-Mammary,MMC_SJ_1211723,MMC_SJ_1211723,F,1.3.46.670589.11.17169.5.0.9748.2013012411142415159.2,2013-01-24,Preinvasive mammary neoplasia,1
67,Mouse-Mammary,MMC_SJ_1211723,MMC_SJ_1211723,F,1.3.46.670589.11.17169.5.0.7096.2013011712114551058.2,2013-01-17,Preinvasive mammary neoplasia,1
68,Mouse-Mammary,MMC_SJ_1211723,MMC_SJ_1211723,F,1.3.46.670589.11.17169.5.0.8484.2013010710015085210.2,2013-01-07,Preinvasive mammary neoplasia,1
69,Mouse-Mammary,MMC_SJ_1211723,MMC_SJ_1211723,F,1.3.46.670589.11.17169.5.0.9748.2013013109480624936.2,2013-01-31,Preinvasive mammary neoplasia,1
70,Mouse-Mammary,MMC_SJ_1211713,MMC_SJ_1211713,F,1.3.46.670589.11.17169.5.0.8484.2013010709265345196.2,2013-01-07,Preinvasive mammary neoplasia,1
71,Mouse-Mammary,MMC_SJ_1211713,MMC_SJ_1211713,F,1.3.46.670589.11.17169.5.0.7408.2013010210261570093.1,2013-01-02,Preinvasive mammary neoplasia,1
72,Mouse-Mammary,MMC_SJ_1211713,MMC_SJ_1211713,F,1.3.46.670589.11.17169.5.0.9912.2012121310584324090.1,2012-12-13,Preinvasive mammary neoplasia,1
73,Mouse-Mammary,MMC_SJ_1211713,MMC_SJ_1211713,F,1.3.46.670589.11.17169.5.0.9748.2013012411480649173.2,2013-01-24,Preinvasive mammary neoplasia,1
74,Mouse-Mammary,MMC_SJ_1211713,MMC_SJ_1211713,F,1.3.46.670589.11.17169.5.0.7096.2013011713240928098.2,2013-01-17,Preinvasive mammary neoplasia,1
75,Mouse-Mammary,MMC_SJ_1211713,MMC_SJ_1211713,F,1.3.46.670589.11.17169.5.0.10972.2013011410472864254.2,2013-01-14,Preinvasive mammary neoplasia,1
76,Mouse-Mammary,MMC_SJ_1211713,MMC_SJ_1211713,F,1.3.46.670589.11.17169.5.0.9748.2013012812032937385.2,2013-01-28,Preinvasive mammary neoplasia,1
77,Mouse-Mammary,MMC_SJ_1211713,MMC_SJ_1211713,F,1.3.46.670589.11.17169.5.0.9912.2012121710543479210.1,2012-12-17,Preinvasive mammary neoplasia,1
78,Mouse-Mammary,MMC_SJ_1211713,MMC_SJ_1211713,F,1.3.46.670589.11.17169.5.0.10972.2013011010494312154.2,2013-01-10,Preinvasive mammary neoplasia,1
79,Mouse-Mammary,MMC_SJ_1211713,MMC_SJ_1211713,F,1.3.46.670589.11.17169.5.0.6200.2012120612163553590.1,2012-12-06,Preinvasive mammary neoplasia,1
80,Mouse-Mammary,MMC_SJ_1211713,MMC_SJ_1211713,F,1.3.46.670589.11.17169.5.0.6200.2012121011465631840.1,2012-12-10,Preinvasive mammary neoplasia,1
81,Mouse-Mammary,MMC_SJ_1211713,MMC_SJ_1211713,F,1.3.46.670589.11.17169.5.0.6356.2012121909123387122.1,2012-12-19,Preinvasive mammary neoplasia,1
82,Mouse-Mammary,MMC_SJ_1211713,MMC_SJ_1211713,F,1.3.46.670589.11.17169.5.0.8484.2013010411144953118.1,2013-01-04,Preinvasive mammary neoplasia,1
83,Mouse-Mammary,MMC_SJ_1211713,MMC_SJ_1211713,F,1.3.46.670589.11.17169.5.0.9748.2013013110294314954.2,2013-01-31,Preinvasive mammary neoplasia,1
84,Mouse-Mammary,MMC_SJ_1211722,MMC_SJ_1211722,F,1.3.46.670589.11.17169.5.0.8484.2013010411492460132.1,2013-01-04,Preinvasive mammary neoplasia,1
