,Collection,PatientID,PatientName,PatientSex,StudyInstanceUID,StudyDate,StudyDescription,SeriesCount,SeriesInstanceUID,Modality,ProtocolName,SeriesDate,SeriesDescription,BodyPartExamined,SeriesNumber,Manufacturer,ManufacturerModelName,SoftwareVersions,Visibility,ImageCount
0,Mouse-Mammary,MMC_SJ_1211711,MMC_SJ_1211711,F,1.3.46.670589.11.17169.5.0.10972.2013011410472864254.1,2013-01-14,Preinvasive mammary neoplasia,1,1.3.46.670589.11.17169.5.0.14352.2013011411285879333.1,MR,WIP 2m_AP_T1_3D_FFE,2013-01-14,2m_AP_T1_3D_FFE,ABDOMEN,401.000000,Philips Medical Systems,Achieva,3.2.2,1,164
1,Mouse-Mammary,MMC_SJ_1211711,MMC_SJ_1211711,F,1.3.46.670589.11.17169.5.0.7096.2013011713240928098.1,2013-01-17,Preinvasive mammary neoplasia,1,1.3.46.670589.11.17169.5.0.9020.2013011713320987205.1,MR,2m_AP_T1_3D_FFE,2013-01-17,2m_AP_T1_3D_FFE,ABDOMEN,401.000000,Philips Medical Systems,Achieva,3.2.2,1,164
2,Mouse-Mammary,MMC_SJ_1211711,MMC_SJ_1211711,F,1.3.46.670589.11.17169.5.0.7408.2013010209283804061.1,2013-01-02,Preinvasive mammary neoplasia,1,1.3.46.670589.11.17169.5.0.7152.2013010210050164413.1,MR,2m_AP_T1_3D_FFE,2013-01-02,2m_AP_T1_3D_FFE,ABDOMEN,701.000000,Philips Medical Systems,Achieva,3.2.2,1,164
3,Mouse-Mammary,MMC_SJ_1211711,MMC_SJ_1211711,F,1.3.46.670589.11.17169.5.0.9748.2013012812032937385.1,2013-01-28,Preinvasive mammary neoplasia,1,1.3.46.670589.11.17169.5.0.7916.2013012812425327686.1,MR,2m_AP_T1_3D_FFE,2013-01-28,2m_AP_T1_3D_FFE,ABDOMEN,301.000000,Philips Medical Systems,Achieva,3.2.2,1,164
4,Mouse-Mammary,MMC_SJ_1211711,MMC_SJ_1211711,F,1.3.46.670589.11.17169.5.0.9912.2012121310154456076.1,2012-12-13,Preinvasive mammary neoplasia,1,1.3.46.670589.11.17169.5.0.4688.2012121310372007921.1,MR,2m_AP_T1_3D_FFE,2012-12-13,2m_AP_T1_3D_FFE,ABDOMEN,301.000000,Philips Medical Systems,Achieva,3.2.2,1,164
5,Mouse-Mammary,MMC_SJ_1211711,MMC_SJ_1211711,F,1.3.46.670589.11.17169.5.0.10972.2013011010494312154.1,2013-01-10,Preinvasive mammary neoplasia,1,1.3.46.670589.11.17169.5.0.14352.2013011011190796938.1,MR,WIP 2m_AP_T1_3D_FFE,2013-01-10,2m_AP_T1_3D_FFE,ABDOMEN,301.000000,Philips Medical Systems,Achieva,3.2.2,1,164
6,Mouse-Mammary,MMC_SJ_1211711,MMC_SJ_1211711,F,1.3.46.670589.11.17169.5.0.9912.2012121710110293196.1,2012-12-17,Preinvasive mammary neoplasia,1,1.3.46.670589.11.17169.5.0.4688.2012121710462993179.1,MR,2m_AP_T1_3D_FFE,2012-12-17,2m_AP_T1_3D_FFE,ABDOMEN,301.000000,Philips Medical Systems,Achieva,3.2.2,1,164
7,Mouse-Mammary,MMC_SJ_1211711,MMC_SJ_1211711,F,1.3.46.670589.11.17169.5.0.8484.2013010410180525096.1,2013-01-04,Preinvasive mammary neoplasia,1,1.3.46.670589.11.17169.5.0.10716.2013010410555920852.1,MR,2m_AP_T1_3D_FFE,2013-01-04,2m_AP_T1_3D_FFE,ABDOMEN,501.000000,Philips Medical Systems,Achieva,3.2.2,1,164
8,Mouse-Mammary,MMC_SJ_1211711,MMC_SJ_1211711,F,1.3.46.670589.11.17169.5.0.8484.2013010709265345196.1,2013-01-07,Preinvasive mammary neoplasia,1,1.3.46.670589.11.17169.5.0.10716.2013010709501692136.1,MR,2m_AP_T1_3D_FFE,2013-01-07,2m_AP_T1_3D_FFE,ABDOMEN,301.000000,Philips Medical Systems,Achieva,3.2.2,1,164
9,Mouse-Mammary,MMC_SJ_1211711,MMC_SJ_1211711,F,1.3.46.670589.11.17169.5.0.6200.2012121011151350826.1,2012-12-10,Preinvasive mammary neoplasia,1,1.3.46.670589.11.17169.5.0.9208.2012121011395929014.1,MR,2m_TSE65_AP,2012-12-10,2m_TSE65_AP,ABDOMEN,301.000000,Philips Medical Systems,Achieva,3.2.2,1,72
