,Collection,PatientID,PatientName,StudyInstanceUID,StudyDate,StudyDescription,SeriesCount
0,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.1664.1186756141.2,2007-08-10,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x1.5,30
1,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184941090.2,2007-07-20,Scanner-Philips_Exp-200_Pitch-1.2_SlCol-16x0.75,30
2,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184950329.4,2007-07-20,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x0.75,30
3,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.1964.1187791014.2,2007-08-22,Scanner-Philips_Exp-25_Pitch-0.9_SlCol-16x1.5,30
4,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.1964.1187794929.3,2007-08-22,Scanner-Philips_Exp-100_Pitch-0.9_SlCol-16x1.5,30
5,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.1964.1187798423.4,2007-08-22,Scanner-Philips_Exp-200_Pitch-0.9_SlCol-16x1.5,30
6,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.1964.1187802990.5,2007-08-22,Scanner-Philips_Exp-25_Pitch-0.9_SlCol-16x0.75,30
7,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.2408.1187269840.1,2007-08-16,Scanner-Philips_Exp-50_Pitch-1.2_SlCol-16x0.75,30
8,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.2408.1187284126.4,2007-08-16,Scanner-Philips_Exp-50_Pitch-1.2_SlCol-16x1.5,30
9,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.2408.1187291248.6,2007-08-16,Scanner-Philips_Exp-50_Pitch-0.9_SlCol-16x0.75,30
10,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.2408.1187297748.7,2007-08-16,Scanner-Philips_Exp-100_Pitch-0.9_SlCol-16x0.75,30
11,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.2408.1187360342.8,2007-08-17,Scanner-Philips_Exp-200_Pitch-0.9_SlCol-16x0.75,30
12,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.3380.1187373705.3,2007-08-17,Scanner-Philips_Exp-50_Pitch-0.9_SlCol-16x1.5,30
13,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.3420.1186587413.5,2007-08-08,Scanner-Philips_Exp-200_Pitch-1.2_SlCol-16x1.5,30
14,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.3420.1186591229.6,2007-08-08,Scanner-Philips_Exp-20_Pitch-1.2_SlCol-16x1.5,30
15,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.3824.1182274483.2,2007-06-19,Scanner-Philips_Exp-20_Pitch-1.2_SlCol-16x0.75,30
16,Phantom FDA,NoduleLayout_2,Thoracic Phantom,1.2.840.113704.1.111.1436.1206104094.1,2008-03-21,Scanner-Philips_Exp-200_Pitch-0.9_SlCol-16x0.75,60
17,Phantom FDA,NoduleLayout_2,Thoracic Phantom,1.2.840.113704.1.111.1436.1206119271.2,2008-03-21,Scanner-Philips_Exp-25_Pitch-0.9_SlCol-16x1.5,60
18,Phantom FDA,NoduleLayout_2,Thoracic Phantom,1.2.840.113704.1.111.2160.1191330999.1,2007-10-02,Scanner-Philips_Exp-25_Pitch-1.2_SlCol-16x0.75,58
19,Phantom FDA,NoduleLayout_2,Thoracic Phantom,1.2.840.113704.1.111.2608.1202486758.2,2008-02-08,Scanner-Philips_Exp-100_Pitch-0.9_SlCol-16x0.75,60
20,Phantom FDA,NoduleLayout_2,Thoracic Phantom,1.2.840.113704.1.111.2720.1206538319.1,2008-03-26,Scanner-Philips_Exp-100_Pitch-0.9_SlCol-16x1.5,60
21,Phantom FDA,NoduleLayout_2,Thoracic Phantom,1.2.840.113704.1.111.2720.1206546453.2,2008-03-26,Scanner-Philips_Exp-200_Pitch-0.9_SlCol-16x1.5,60
22,Phantom FDA,NoduleLayout_2,Thoracic Phantom,1.2.840.113704.1.111.3516.1200669154.2,2008-01-18,Scanner-Philips_Exp-200_Pitch-1.2_SlCol-16x1.5,60
23,Phantom FDA,NoduleLayout_2,Thoracic Phantom,1.2.840.113704.1.111.3516.1200678487.3,2008-01-18,Scanner-Philips_Exp-25_Pitch-0.9_SlCol-16x0.75,58
24,Phantom FDA,NoduleLayout_2,Thoracic Phantom,1.2.840.113704.1.111.3632.1196437378.2,2007-11-30,Scanner-Philips_Exp-200_Pitch-1.2_SlCol-16x0.75,59
25,Phantom FDA,NoduleLayout_2,Thoracic Phantom,1.2.840.113704.1.111.3736.1194458499.2,2007-11-07,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x0.75,59
26,Phantom FDA,NoduleLayout_2,Thoracic Phantom,1.2.840.113704.1.111.4084.1198077692.2,2007-12-19,Scanner-Philips_Exp-25_Pitch-1.2_SlCol-16x1.5,59
27,Phantom FDA,NoduleLayout_2,Thoracic Phantom,1.2.840.113704.1.111.4084.1198083826.3,2007-12-19,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x1.5,60
28,Phantom FDA,NoduleLayout_3,Thoracic Phantom,1.3.12.2.1107.5.1.4.60175.30000008042114404745300000007,2008-04-21,Scanner-SIEMENS_Exp-100_Pitch-1.2_SlCol-64x0.6mm,120
29,Phantom FDA,NoduleLayout_3,Thoracic Phantom,1.3.12.2.1107.5.1.4.60175.30000008042114404745300000013,2008-04-21,Scanner-SIEMENS_Exp-25_Pitch-1.2_SlCol-64x0.6mm,120
30,Phantom FDA,NoduleLayout_3,Thoracic Phantom,1.3.12.2.1107.5.1.4.60175.30000008042114404745300000004,2008-04-21,Scanner-SIEMENS_Exp-200_Pitch-0.9_SlCol-64x0.6mm,120
31,Phantom FDA,NoduleLayout_3,Thoracic Phantom,1.3.12.2.1107.5.1.4.60175.30000008042114404745300000016,2008-04-21,Scanner-SIEMENS_Exp-25_Pitch-0.9_SlCol-64x0.6mm,120
32,Phantom FDA,NoduleLayout_3,Thoracic Phantom,1.3.12.2.1107.5.1.4.60175.30000008042114404745300000010,2008-04-21,Scanner-SIEMENS_Exp-100_Pitch-0.9_SlCol-64x0.6mm,120
33,Phantom FDA,NoduleLayout_3,Thoracic Phantom,1.3.12.2.1107.5.1.4.60175.30000008042114404745300000001,2008-04-21,Scanner-SIEMENS_Exp-200_Pitch-1.2_SlCol-64x0.6mm,120
